address,roll_number,year_of_sale,month_of_sale,sale_price,longitude,latitude
299 ELMHURST RD,1000992100,2018,3,"$184,900",-97.255509,49.864773
771 COVENTRY RD,1002679200,2018,3,"$474,700",-97.2776306,49.8493273
681 FAIRMONT RD,1002444000,2018,3,"$222,000",-97.2742863,49.8527388
11 GREAT ELM COVE,1003366900,2018,3,"$600,000",-97.289017,49.859301
242 BARKER BLVD,1005610000,2018,3,"$400,000",-97.3228559,49.8676053
765 PEPPERLOAF CRES,1003391600,2018,3,"$450,000",-97.29031,49.84964
152 ROBINDALE RD,1003445900,2018,3,"$309,700",-97.2920902,49.8536676
47 COLLINGHAM BAY,1005414300,2018,3,"$306,000",-97.3218,49.852793
118 HARWOOD CRES,1004893800,2018,3,"$215,900",-97.318336,49.8488656
18 SANDHAM CRES,1005293000,2018,3,"$360,000",-97.3146676,49.8584612
146 WESTGROVE WAY,1004721100,2018,3,"$183,500",-97.320525,49.8603944
546 COMMUNITY ROW,1003665500,2018,3,"$310,000",-97.2974483,49.858577
714 COMMUNITY ROW,1003714300,2018,3,"$300,000",-97.2979162,49.8526305
23 INVERARY BAY,1003622400,2018,3,"$615,000",-97.2940932,49.8520337
11 EPSOM CRES,1001577600,2018,3,"$267,500",-97.2610541,49.8554015
50 EPSOM CRES,1001576800,2018,3,"$273,000",-97.2622933,49.8559841
2 PINAWA DR,1001629400,2018,3,"$379,000",-97.2619307,49.8482896
43 PEREGRINE PT,1009601585,2018,3,"$654,090.50",-97.3183497,49.8446529
325 MADISON ST,7001056000,2018,3,"$178,000",-97.2036963,49.8849619
298 COLLEGIATE ST,7020523000,2018,3,"$168,000",-97.2176109,49.8826267
453 COLLEGIATE ST,7020917000,2018,3,"$260,658.90",-97.2165619,49.8881438
380 FERRY RD,7041462000,2018,3,"$135,000",-97.2185823,49.8856704
534 FERRY RD,7041595000,2018,3,"$200,000",-97.2180372,49.8908854
395 INGLEWOOD ST,7041434500,2018,3,"$240,000",-97.2191323,49.8860643
395 MARJORIE ST,7021571000,2018,3,"$174,000",-97.2130195,49.8862129
368 ROSEBERRY ST,7569136245,2018,3,"$283,430.20",-97.2160588,49.8852088
617 BRUCE AVE,7071546000,2018,3,"$282,000",-97.2742302,49.88286
335 NIGHTINGALE RD,7076006000,2018,3,"$350,000",-97.2677477,49.8822279
736 ISBISTER ST,7208286000,2018,3,"$210,000",-97.3191859,49.8861299
1115 BUCHANAN BLVD,7216390500,2018,3,"$234,900",-97.3147569,49.896793
119 BUFFIE BAY,7218282000,2018,3,"$325,500",-97.3096865,49.8881717
97 CARBERRY CRES,7321692000,2018,3,"$339,900",-97.2976737,49.8996462
45 MAKINAK BAY,7321568000,2018,3,"$405,000",-97.300557,49.89772
91 NORTH LAKE DR,7218018000,2018,3,"$250,000",-97.3081249,49.8954496
23 ROGAN DR,7329294000,2018,3,"$295,000",-97.2952166,49.8940481
27 ACHESON DR,7325624000,2018,3,"$262,000",-97.2889312,49.8986924
323 AINSLIE ST,7075143000,2018,3,"$242,000",-97.260783,49.8797203
34 BAFFIN CRES,7063133000,2018,3,"$317,000",-97.2517643,49.8831045
57 BEAVERBEND CRES,7063037000,2018,3,"$280,000",-97.251704,49.8819017
150 KANE AVE,7061848000,2018,3,"$250,000",-97.2488442,49.8774158
207 HARRIS BLVD,7074976000,2018,3,"$355,000",-97.2769865,49.8784233
132 WOODHAVEN BLVD,7070293000,2018,3,"$425,000",-97.2735212,49.8729709
129 BROWNING BLVD,7549651000,2018,3,"$365,000",-97.2976099,49.8718702
42 BYRD AVE,7553120000,2018,3,"$317,000",-97.2973089,49.880119
22 GALINEE BAY,7552330000,2018,3,"$310,000",-97.2976398,49.8771622
234 OAK FOREST CRES,7569052300,2018,3,"$820,000",-97.330967,49.8688797
588 ALEXANDER AVE,13080402000,2018,3,"$116,000",-97.15102,49.906064
199 MARYLAND ST,12090405000,2018,3,"$153,000",-97.1605402,49.8848107
134 SPENCE ST,12091350000,2018,3,"$235,000",-97.1545908,49.8844507
669 LANGSIDE ST,13051035000,2018,3,"$153,000",-97.1554113,49.8986076
653 SHERBROOK ST,13050357000,2018,3,"$195,000",-97.158048,49.8982159
566 YOUNG ST,13051204000,2018,3,"$82,500",-97.1549104,49.8970777
709 ELGIN AVE,13072121000,2018,3,"$136,500",-97.157242,49.906018
613 AGNES ST,13041381000,2018,3,"$197,500",-97.161333,49.8974207
649 HOME ST,13031084000,2018,3,"$138,000",-97.1672263,49.8959809
957 INGERSOLL ST,13021594000,2018,3,"$220,900",-97.1734792,49.8990792
1029 INGERSOLL ST,13021546000,2018,3,"$200,000",-97.1733548,49.9011111
567 LIPTON ST,13021878000,2018,3,"$205,000",-97.1728377,49.8936267
773 LIPTON ST,13021771000,2018,3,"$235,000",-97.1724685,49.899386
573 VICTOR ST,13040663000,2018,3,"$160,000",-97.162725,49.8957642
368 ARLINGTON ST,13030384000,2018,3,"$208,000",-97.1695512,49.8884624
294 BEVERLEY ST,13032259000,2018,3,"$122,940",-97.1659021,49.8887596
405 VICTOR ST,13040603000,2018,3,"$223,809.50",-97.1629587,49.891171
1213 ALEXANDER AVE,13090058000,2018,3,"$156,250",-97.1756196,49.9146953
1319 ALEXANDER AVE,13090183000,2018,3,"$107,000",-97.1801876,49.9161722
1442 MCDERMOT AVE W,13062469000,2018,3,"$175,000",-97.188573,49.912244
1391 PACIFIC AVE W,13080898000,2018,3,"$214,000",-97.1846551,49.9168789
1525 ROSS AVE W,13070681000,2018,3,"$100,000",-97.1895569,49.917284
1357 WINNIPEG AVE W,13062552000,2018,3,"$137,000",-97.184751,49.9105878
1449 WINNIPEG AVE W,13062487000,2018,3,"$240,000",-97.1888947,49.9119197
611 GARFIELD ST N,13020062000,2018,3,"$156,500",-97.1766274,49.8878226
741 GOULDING ST,13011882000,2018,3,"$245,000",-97.1811355,49.8894364
732 VALOUR RD,13003488000,2018,3,"$184,000",-97.1889846,49.887456
872 VALOUR RD,13003385000,2018,3,"$159,900",-97.188763,49.891472
1174 DOMINION ST,13012866000,2018,3,"$240,000",-97.1773608,49.9012503
1177 DOMINION ST,13012644000,2018,3,"$221,650",-97.176695,49.901339
1326 DOWNING ST,13013185000,2018,3,"$199,000",-97.1782443,49.9058319
1120 STRATHCONA ST,13002742000,2018,3,"$220,900",-97.1906373,49.896011
1286 STRATHCONA ST,13002929000,2018,3,"$210,000",-97.190372,49.900587
498 FLORA AVE,14002081000,2018,3,"$117,000",-97.1458229,49.9147993
344 ABERDEEN AVE,14030808000,2018,3,"$67,000",-97.1355063,49.9174881
396 ABERDEEN AVE,14030825000,2018,3,"$181,500",-97.137765,49.918173
579 BURROWS AVE,14030270000,2018,3,"$175,000",-97.1461385,49.9196917
488 MANITOBA AVE,14020527100,2018,3,"$106,000",-97.1437911,49.9168863
615 MANITOBA AVE,14020331000,2018,3,"$192,000",-97.1487532,49.9188722
923 BOYD AVE,14040536000,2018,3,"$150,000",-97.156775,49.9265651
964 MANITOBA AVE,14021074800,2018,3,"$225,000",-97.163849,49.923253
356 CATHEDRAL AVE,14052815100,2018,3,"$250,000",-97.132527,49.92574
512 CHURCH AVE,14043466000,2018,3,"$170,000",-97.1407089,49.9262108
309 LANSDOWNE AVE,14070545000,2018,3,"$222,000",-97.1280282,49.9299808
344 LANSDOWNE AVE,14070573000,2018,3,"$163,000",-97.130223,49.930123
343 MACHRAY AVE,14042601000,2018,3,"$222,500",-97.132594,49.925313
463 MCGREGOR ST,14043445000,2018,3,"$185,000",-97.1412665,49.9264924
585 REDWOOD AVE,14033191000,2018,3,"$170,000",-97.1447265,49.9219387
656 LANSDOWNE AVE,14071065000,2018,3,"$145,000",-97.14222,49.9340886
625 PARR ST,14061813000,2018,3,"$220,500",-97.140219,49.9379425
166 ANGUS ST,14000132100,2018,3,"$186,100",-97.1170602,49.9050663
163 AUSTIN ST N,14000765000,2018,3,"$60,000",-97.131634,49.907342
77 BARBER ST,14000402000,2018,3,"$149,900",-97.1254342,49.9074975
170 MCFARLANE ST N,14000187000,2018,3,"$195,000",-97.1202027,49.9056372
1255 MANITOBA AVE,14021254000,2018,3,"$275,000",-97.1749599,49.927241
688 MCPHILLIPS ST,14021122000,2018,3,"$102,500",-97.1697186,49.9246985
1192 MOUNTAIN AVE,14052035100,2018,3,"$188,000",-97.1691055,49.9319505
1187 SELKIRK AVE,14010936000,2018,3,"$115,000",-97.1718905,49.9244834
1224 SELKIRK AVE,14010989100,2018,3,"$193,000",-97.1745947,49.9249798
273 HARTFORD AVE,11020750000,2018,3,"$229,000",-97.1217571,49.937629
249 KILBRIDE AVE,11020578000,2018,3,"$180,000",-97.1194806,49.9384759
